,City,Cloudness,Humidity,Latitude,Tempature,Wind Speed
119,tuktoyaktuk,90.0,87.0,69.44,42.8,6.93
120,ravar,0.0,24.0,31.27,88.32,4.45
121,monastyrshchina,88.0,90.0,54.35,64.65,11.16
122,port hardy,40.0,93.0,50.7,53.6,3.22
123,teya,75.0,94.0,21.05,73.4,4.45
124,dibulla,8.0,87.0,11.27,81.75,15.97
125,banmankhi,48.0,94.0,25.89,87.42,8.03
126,tambilil,80.0,84.0,5.96,80.67,3.11
127,tsabong,0.0,30.0,-26.02,53.31,13.85
128,georgetown,24.0,88.0,6.8,77.07,5.68
129,qaanaaq,76.0,88.0,77.48,38.28,12.73
130,adrar,0.0,19.0,27.87,89.6,11.41
131,shymkent,0.0,19.0,42.31,96.8,6.71
132,mitu,0.0,20.0,36.2,85.44,2.55
133,hilo,90.0,74.0,19.71,68.95,4.7
134,namibe,0.0,100.0,-15.19,63.39,8.59
135,havelock,40.0,100.0,34.88,78.8,5.82
136,twentynine palms,1.0,8.0,34.14,92.55,13.87
137,moratuwa,40.0,94.0,6.77,75.2,8.05
138,novo aripuana,12.0,96.0,-5.12,72.93,2.77
139,barabinsk,0.0,70.0,55.35,68.34,8.7
140,kuytun,8.0,66.0,54.34,62.31,3.22
141,meadow lake,48.0,54.0,54.13,68.52,9.37
142,tasiilaq,36.0,86.0,65.61,39.2,9.17
143,saint-augustin,75.0,94.0,44.83,74.39,6.93
144,khatanga,8.0,96.0,71.98,53.4,9.48
145,nyagan,92.0,98.0,62.14,62.94,6.02
146,geraldton,90.0,93.0,49.72,51.8,2.1
147,klaksvik,92.0,93.0,62.23,50.0,12.75
148,kirundo,20.0,64.0,-2.59,68.0,3.36
149,dikson,36.0,79.0,73.51,48.27,19.55
150,waingapu,24.0,56.0,-9.65,84.72,10.49
151,kingman,1.0,23.0,35.19,95.43,2.66
152,raudeberg,75.0,100.0,61.99,57.2,6.93
153,lagoa,0.0,41.0,37.14,75.2,5.82
154,sorland,75.0,71.0,67.67,54.27,3.36
155,cherskiy,68.0,60.0,68.75,48.72,7.36
156,ballina,75.0,100.0,54.11,50.0,8.05
157,padang,80.0,100.0,-0.92,78.78,7.25
158,longyearbyen,75.0,65.0,78.22,46.4,3.36
159,merauke,56.0,93.0,-8.49,79.86,13.73
160,karratha,0.0,10.0,-20.74,79.95,11.83
161,te anau,24.0,72.0,-45.41,47.91,14.29
162,pisz,20.0,84.0,53.63,65.37,5.23
163,tura,92.0,99.0,25.52,78.42,2.44
164,lourdes,40.0,88.0,13.73,75.2,8.05
165,nara,20.0,49.0,34.68,91.81,9.17
166,springbok,80.0,92.0,-29.67,41.97,8.93
167,ribeira grande,40.0,77.0,38.52,68.0,5.82
168,bourail,64.0,59.0,-21.57,72.75,2.89
169,zhanaozen,0.0,25.0,43.35,91.02,7.81
170,provideniya,90.0,87.0,64.42,48.2,2.24
171,chapada dos guimaraes,0.0,93.0,-15.46,64.4,3.36
172,boysun,0.0,23.0,38.2,82.65,1.66
173,timmins,90.0,82.0,48.48,59.0,6.93
174,flin flon,44.0,91.0,54.77,63.75,3.0
175,lata,68.0,99.0,30.78,66.81,1.88
176,caiaponia,44.0,74.0,-16.96,67.89,9.48
177,harper,1.0,69.0,30.3,78.89,10.83
178,castro,44.0,91.0,-42.48,38.19,4.0
179,saskylakh,12.0,70.0,71.97,67.71,6.8
180,vallenar,8.0,83.0,-28.58,42.24,1.21
181,kirkland lake,1.0,93.0,48.15,62.6,3.36
182,tuatapere,68.0,88.0,-46.13,52.5,15.19
183,bandar,64.0,43.0,-4.2,91.02,5.91
184,salalah,90.0,88.0,17.01,78.8,4.7
185,botwood,90.0,93.0,49.14,64.4,5.82
186,komsomolskiy,92.0,97.0,67.55,54.12,8.25
187,norman wells,75.0,81.0,65.28,53.6,4.7
188,rosa zarate,92.0,100.0,0.33,71.58,3.44
189,hasaki,75.0,94.0,35.73,75.61,18.34
190,qaqortoq,0.0,75.0,60.72,42.8,3.36
191,aguadilla,0.0,100.0,18.43,81.03,13.29
192,comodoro rivadavia,0.0,70.0,-45.87,44.6,6.93
193,brae,20.0,82.0,60.4,55.4,11.41
194,popondetta,36.0,85.0,-8.77,76.17,1.43
195,beringovskiy,76.0,99.0,63.05,51.42,9.82
196,kipushi,0.0,49.0,-11.76,57.54,6.69
197,paramonga,80.0,100.0,-10.68,59.61,11.83
198,adre,92.0,93.0,13.47,67.89,6.58
199,jalu,0.0,35.0,29.03,85.89,10.94
200,barretos,90.0,83.0,-20.55,73.4,8.05
201,inirida,92.0,100.0,3.87,70.95,2.44
202,guerrero negro,0.0,98.0,27.97,69.96,5.12
203,kirakira,32.0,100.0,-10.46,81.39,11.83
204,iqaluit,90.0,87.0,63.75,42.8,23.04
205,sao joao da barra,92.0,100.0,-21.64,68.43,17.43
206,taltal,24.0,90.0,-25.41,47.01,2.66
207,mezen,92.0,90.0,65.85,51.51,6.46
208,bandar-e lengeh,44.0,71.0,26.56,96.8,6.93
209,okhotsk,8.0,86.0,59.36,59.25,6.8
210,thompson,75.0,93.0,55.74,60.8,5.82
211,ratnagiri,92.0,100.0,16.98,78.78,18.77
212,baykit,44.0,75.0,61.68,54.66,5.01
213,rio tinto,75.0,94.0,-6.8,73.4,10.29
214,nelson bay,0.0,27.0,-32.72,62.6,20.8
215,salym,80.0,82.0,60.06,66.54,11.05
216,san juan bautista,0.0,79.0,-26.67,44.85,6.24
217,milton,1.0,69.0,44.64,74.05,6.93
218,araguaina,44.0,63.0,-7.19,73.92,4.56
219,uchiza,68.0,99.0,-8.46,66.99,2.21
220,nhulunbuy,20.0,51.0,-12.18,80.6,19.46
221,vilyuysk,0.0,62.0,63.75,70.41,3.56
222,richards bay,0.0,66.0,-28.77,61.95,6.13
223,manono,0.0,57.0,-7.3,72.39,3.0
224,huayucachi,32.0,79.0,-12.13,30.45,1.21
225,bethel,90.0,87.0,60.79,57.2,10.29
226,diego de almagro,76.0,81.0,-26.39,49.17,1.1
227,saint-francois,0.0,73.0,46.42,71.6,6.02
228,ancud,12.0,89.0,-41.87,37.65,3.89
229,balkhash,100.0,70.0,46.84,77.7,4.45
230,verkhoyansk,0.0,40.0,67.55,67.53,3.67
231,olupona,92.0,96.0,7.6,70.14,7.7
232,gao,48.0,95.0,16.28,75.63,3.78
233,russell,0.0,61.0,-33.01,50.0,3.36
234,khurda,90.0,94.0,20.18,78.8,6.93
235,waipawa,20.0,93.0,-39.94,50.79,8.03
236,gumdag,0.0,36.0,39.2,93.0,3.89
237,berea,90.0,94.0,41.37,70.7,10.29
238,marzuq,0.0,36.0,14.4,84.09,6.46
239,vostok,0.0,57.0,46.45,75.81,2.77
240,kattivakkam,75.0,55.0,13.22,89.6,9.17
241,kyshtovka,20.0,69.0,56.56,67.89,13.29
242,sao filipe,100.0,100.0,14.9,75.99,11.05
243,maues,24.0,77.0,-3.38,78.42,1.21
244,conceicao do mato dentro,92.0,99.0,-19.04,62.85,3.0
245,kavieng,56.0,100.0,-2.57,81.84,3.44
246,talnakh,56.0,81.0,69.49,51.51,8.81
247,san joaquin,92.0,100.0,10.59,75.27,10.38
248,council bluffs,75.0,100.0,41.26,71.6,3.36
249,nantucket,0.0,94.0,41.28,75.2,10.29
250,oksfjord,75.0,87.0,70.24,49.96,17.22
251,ciudad bolivar,12.0,75.0,8.12,79.59,10.49
252,ko samui,40.0,83.0,9.54,80.6,11.41
253,fortuna,0.0,88.0,38.18,73.4,1.12
254,port macquarie,0.0,25.0,-31.43,64.4,14.99
255,jasper,24.0,100.0,33.83,71.06,1.88
256,sitrah,0.0,33.0,26.15,103.32,18.34
257,goya,0.0,83.0,-29.14,52.41,13.29
258,olga,1.0,57.0,34.11,77.92,5.82
259,lingao,36.0,82.0,19.91,88.95,4.79
260,jijiga,0.0,49.0,9.35,70.05,10.49
261,pimentel,0.0,91.0,-3.7,74.01,4.68
262,pisco,90.0,87.0,-13.71,60.8,10.29
263,belo oriente,92.0,100.0,-19.22,64.74,3.33
264,leningradskiy,36.0,100.0,69.38,34.14,11.5
265,zeya,76.0,64.0,53.74,64.02,2.77
266,los llanos de aridane,0.0,88.0,28.66,71.6,13.87
267,andijon,20.0,27.0,40.76,91.4,4.7
268,narsaq,0.0,75.0,60.91,42.8,3.36
269,sumbe,80.0,100.0,-11.2,65.64,0.98
270,haines junction,92.0,80.0,60.75,51.33,3.22
271,mugur-aksy,36.0,61.0,50.38,60.42,2.44
272,solnechnyy,88.0,65.0,50.72,76.62,3.67
273,svetlogorsk,20.0,53.0,53.14,77.0,8.95
274,ulaangom,88.0,85.0,49.98,59.7,3.11
275,saint george,20.0,50.0,39.45,78.8,6.93
276,fernley,40.0,22.0,39.61,69.22,4.7
277,oussouye,40.0,83.0,12.49,78.78,4.7
278,texarkana,1.0,74.0,33.44,78.8,6.93
279,kutum,56.0,100.0,14.2,66.99,6.35
280,svetlaya,0.0,81.0,46.54,68.61,12.39
281,sabha,0.0,13.0,27.03,85.35,11.16
282,kaeo,0.0,88.0,-35.1,52.77,5.12
283,aklavik,90.0,81.0,68.22,50.0,3.11
284,bud,75.0,87.0,62.91,57.2,5.82
285,cabo san lucas,5.0,74.0,22.89,80.6,4.7
286,vila velha,40.0,83.0,-3.71,78.8,13.87
287,changping,40.0,70.0,40.22,87.8,2.24
288,novoseleznevo,88.0,65.0,55.68,76.08,9.71
289,awjilah,0.0,31.0,29.14,86.16,12.06
290,boende,24.0,94.0,-0.28,72.12,3.67
291,sawtell,0.0,34.0,-30.38,64.4,8.05
292,mandalgovi,12.0,99.0,45.76,68.88,6.69
293,la ronge,75.0,82.0,55.1,66.2,8.05
294,sept-iles,90.0,100.0,50.2,62.6,2.44
295,filadelfia,0.0,93.0,-22.35,57.99,6.24
296,skjervoy,75.0,87.0,70.03,50.94,17.22
297,vestmannaeyjar,56.0,84.0,63.44,50.61,19.77
298,half moon bay,90.0,87.0,37.46,64.6,6.93
299,upernavik,92.0,86.0,72.79,42.24,28.39
300,bubaque,80.0,100.0,11.28,78.51,14.74
301,zhigansk,0.0,50.0,66.77,68.43,3.67
302,chebarkul,0.0,69.0,54.98,76.35,4.79
303,dutse,20.0,97.0,11.76,71.13,4.9
304,saint-louis,0.0,60.0,47.59,71.08,8.05
305,leshukonskoye,92.0,100.0,64.9,51.24,8.25
306,skibbereen,75.0,87.0,51.55,53.6,4.7
307,florianopolis,0.0,100.0,-27.6,50.0,2.24
308,clyde river,1.0,86.0,70.47,37.4,4.7
309,millbrook,1.0,83.0,32.48,78.15,3.36
310,atar,0.0,53.0,20.52,78.69,5.57
311,san quintin,75.0,70.0,17.54,87.8,6.93
312,den helder,20.0,83.0,52.96,69.82,4.7
313,port moresby,40.0,74.0,-9.47,84.2,17.22
314,metro,76.0,68.0,-5.11,84.27,7.7
315,hithadhoo,12.0,100.0,-0.6,80.04,8.48
316,yulara,0.0,20.0,-25.24,64.4,8.05
317,rundu,0.0,52.0,-17.91,57.72,3.0
318,cidreira,0.0,89.0,-30.17,47.37,7.58
319,kodiak,75.0,100.0,39.95,69.8,13.87
320,noumea,20.0,64.0,-22.28,71.6,10.29
321,morondava,0.0,91.0,-20.3,70.68,4.0
322,antofagasta,90.0,76.0,-23.65,55.4,1.12
323,lasa,40.0,70.0,34.92,83.19,3.36
324,cody,1.0,66.0,44.53,55.4,5.82
325,severodvinsk,40.0,93.0,64.56,51.8,6.71
326,east london,0.0,50.0,-33.02,51.8,11.41
327,marawi,48.0,77.0,8.0,77.52,8.25
328,omboue,92.0,100.0,-1.57,73.47,10.49
329,bayangol,0.0,64.0,48.91,73.47,4.34
330,bonavista,76.0,98.0,48.65,58.17,12.73
331,college,90.0,93.0,64.86,55.4,9.17
332,carndonagh,40.0,82.0,55.25,55.4,8.05
333,lazaro cardenas,76.0,28.0,28.39,81.66,11.61
334,shubarshi,0.0,59.0,48.59,86.52,5.35
335,gizo,40.0,65.0,31.8,82.4,6.93
336,padampur,88.0,71.0,29.71,89.94,10.16
337,malinyi,0.0,61.0,-8.94,70.23,2.33
338,rabo de peixe,75.0,68.0,37.8,68.0,5.82
339,kastamonu,40.0,56.0,41.38,68.0,3.36
340,amapa,40.0,100.0,15.09,73.4,1.88
341,nampa,0.0,55.0,43.57,68.5,2.1
342,veraval,0.0,64.0,49.65,70.39,5.82
343,coquimbo,20.0,93.0,-29.95,50.0,4.7
344,awbari,0.0,15.0,26.59,83.46,4.9
345,maceio,40.0,100.0,-9.67,68.0,2.24
346,sobolevo,88.0,90.0,54.43,64.65,11.16
347,etchoropo,0.0,80.0,26.77,86.07,6.35
348,kruisfontein,44.0,97.0,-34.0,52.59,26.37
349,ushtobe,0.0,25.0,45.25,94.62,7.36
350,buala,24.0,79.0,-8.15,83.01,4.79
351,bilibino,32.0,41.0,68.06,58.71,4.45
352,codrington,0.0,47.0,-28.95,60.87,7.25
353,carutapera,0.0,89.0,-1.2,77.88,9.82
354,campbell river,5.0,77.0,50.02,69.8,6.93
355,mabai,48.0,89.0,23.01,74.01,2.66
356,kieta,88.0,100.0,-6.22,77.88,2.77
357,baghmara,32.0,93.0,23.8,82.56,8.03
358,makarov,48.0,74.0,48.62,67.17,7.92
359,toora-khem,0.0,61.0,52.47,63.39,3.11
360,conway,1.0,100.0,33.84,77.59,6.02
361,bima,56.0,68.0,-8.45,82.74,4.0
362,achalpur,76.0,92.0,21.25,78.15,12.73
363,mehamn,75.0,70.0,71.03,48.2,20.8
364,houston,40.0,94.0,29.76,77.9,4.34
365,margate,20.0,93.0,-43.03,53.6,17.22
366,teguise,20.0,83.0,29.06,73.4,14.99
367,mahon,75.0,87.0,51.89,53.6,4.7
368,kahului,20.0,74.0,20.89,74.84,13.87
369,magdalena,8.0,95.0,-13.26,64.11,3.11
370,chuguyevka,8.0,57.0,44.17,74.91,3.44
371,guadalupe y calvo,8.0,70.0,26.09,60.87,2.66
372,daru,92.0,99.0,7.99,70.23,4.68
373,alexandria,1.0,94.0,31.31,72.95,2.77
374,port-cartier,90.0,93.0,50.03,62.6,2.24
375,cuamba,0.0,57.0,-14.8,70.32,4.23
376,yuyao,40.0,53.0,30.04,96.8,2.24
377,wernigerode,0.0,49.0,51.83,69.8,2.24
378,mosquera,40.0,71.0,4.71,51.8,26.4
379,avera,1.0,94.0,33.19,74.12,5.12
380,tashla,20.0,65.0,53.71,77.0,4.47
381,shchigry,0.0,56.0,51.87,73.4,8.95
382,sulangan,32.0,97.0,11.14,83.55,18.21
383,saint-georges,12.0,78.0,46.12,71.67,5.23
384,qazvin,0.0,51.0,36.28,82.4,4.7
385,san isidro,92.0,100.0,16.74,75.99,3.56
386,bossangoa,64.0,93.0,6.5,72.12,3.67
387,the valley,75.0,78.0,18.22,82.4,9.17
388,hearst,56.0,83.0,49.69,55.02,2.33
389,rawson,36.0,59.0,-43.3,53.4,10.04
390,marmande,0.0,82.0,44.5,69.84,4.7
391,katikati,0.0,92.0,-37.55,51.06,4.34
392,melfi,0.0,88.0,41.0,71.6,3.36
393,akureyri,90.0,87.0,65.68,48.2,11.41
394,kramat,20.0,51.0,-7.04,86.0,13.87
395,killybegs,92.0,100.0,54.63,55.65,13.06
396,deputatskiy,0.0,47.0,69.3,58.71,6.02
397,calabozo,12.0,73.0,8.92,79.05,11.16
398,boyolangu,0.0,40.0,-8.09,88.86,5.35
399,sulmona,0.0,78.0,42.05,71.53,4.7
400,virginia beach,40.0,69.0,36.85,77.58,4.7
401,myaundzha,92.0,97.0,63.05,50.16,5.23
402,xam nua,56.0,79.0,20.42,76.62,2.44
403,port augusta,90.0,54.0,-32.49,59.0,17.22
404,uttaradit,75.0,79.0,17.63,86.94,1.12
405,nizwa,88.0,14.0,22.93,102.36,3.0
406,mehran,0.0,16.0,33.12,96.8,4.7
407,nouadhibou,75.0,94.0,20.93,69.8,8.05
408,punta cardon,20.0,65.0,11.61,80.6,19.33
409,huntsville,40.0,94.0,34.73,71.37,3.36
410,dawson,40.0,100.0,39.85,74.46,5.57
411,pauini,24.0,83.0,-7.71,74.19,4.68
412,yuxia,20.0,47.0,34.06,96.8,2.24
413,laerdalsoyri,40.0,100.0,61.1,50.0,4.7
414,namwala,0.0,60.0,-15.75,59.79,5.46
415,touros,92.0,100.0,-5.2,73.47,10.83
416,gambela,92.0,98.0,8.25,62.49,0.43
417,anadyr,0.0,82.0,64.73,55.4,11.18
418,angostura,32.0,80.0,25.37,82.65,1.99
419,catalina foothills,40.0,29.0,32.3,91.4,20.8
420,hobyo,12.0,69.0,5.35,79.86,16.53
421,turukhansk,68.0,92.0,65.8,56.1,8.03
422,murgab,0.0,29.0,37.5,91.4,9.17
423,grand gaube,75.0,44.0,-20.01,77.0,13.87
424,ostrovnoy,12.0,85.0,68.05,51.69,15.08
425,ixtapa,90.0,100.0,20.71,78.8,1.99
426,moose jaw,20.0,72.0,50.4,60.8,9.17
427,egvekinot,88.0,79.0,66.32,49.89,2.77
428,westport,75.0,100.0,53.8,50.0,8.05
429,chicama,90.0,88.0,-7.84,62.6,8.05
430,fountain hills,1.0,17.0,33.61,99.32,0.76
431,northam,75.0,100.0,51.04,58.55,1.12
432,arlit,0.0,66.0,18.74,79.68,9.26
433,mgachi,88.0,75.0,51.05,67.89,13.62
434,nikolayevsk-na-amure,12.0,83.0,53.14,65.37,3.67
435,katsuura,40.0,46.0,33.93,91.29,14.99
436,lilongwe,0.0,75.0,-13.97,61.68,4.68
437,tilichiki,0.0,69.0,60.47,62.67,5.79
438,korcula,0.0,64.0,42.96,75.2,1.12
439,vakhrushev,68.0,64.0,48.99,70.68,8.81
440,pindiga,88.0,98.0,9.98,69.96,6.24
441,namatanai,80.0,100.0,-3.66,80.85,8.7
442,ambilobe,0.0,64.0,-13.19,74.91,7.02
443,tawau,75.0,74.0,4.26,86.0,8.05
444,changli,44.0,84.0,30.54,88.14,4.12
445,aleksandrovsk-sakhalinskiy,88.0,75.0,50.9,67.89,13.62
446,caravelas,80.0,100.0,-17.73,75.09,9.26
447,mozarlandia,20.0,80.0,-14.74,63.21,2.77
448,roma,0.0,83.0,41.89,74.93,4.7
449,meiganga,88.0,97.0,6.52,65.73,3.44
450,wattegama,100.0,100.0,7.35,72.48,5.91
451,mayya,0.0,44.0,61.74,75.2,6.71
452,ketchikan,1.0,82.0,55.34,61.39,3.36
453,nome,1.0,94.0,30.04,76.96,3.78
454,bessemer,1.0,88.0,33.4,74.28,1.88
455,amarante do maranhao,0.0,84.0,-5.57,69.96,4.45
456,kuminskiy,8.0,81.0,58.67,71.67,5.79
457,pak phanang,40.0,88.0,8.35,80.6,6.93
458,havoysund,75.0,87.0,71.0,48.2,6.93
459,torbay,90.0,93.0,47.66,57.2,6.93
460,kroya,20.0,43.0,-6.5,89.4,5.23
461,moose factory,90.0,93.0,51.26,48.2,4.7
462,san-pedro,100.0,94.0,4.75,72.48,7.7
463,linxia,88.0,99.0,35.6,62.31,3.67
464,irtyshskiy,0.0,71.0,58.33,75.72,5.79
465,paamiut,88.0,87.0,61.99,44.49,21.34
466,isangel,0.0,100.0,-19.55,72.21,9.82
467,zonguldak,20.0,73.0,41.25,75.2,5.82
468,abbeville,0.0,82.0,50.11,64.47,4.7
469,quesnel,90.0,48.0,52.98,66.2,4.23
470,chippewa falls,1.0,100.0,44.94,61.18,2.89
471,maragogi,24.0,96.0,-9.01,71.67,7.25
472,port-gentil,90.0,88.0,-0.72,75.2,6.93
473,barrhead,64.0,59.0,54.12,63.48,6.8
474,douentza,64.0,97.0,15.01,70.14,4.0
475,kununurra,0.0,9.0,-15.77,84.2,12.75
476,chapais,90.0,87.0,49.78,60.8,5.82
477,thai binh,48.0,85.0,20.45,87.51,4.56
478,tateyama,75.0,61.0,36.66,80.6,5.82
479,tessalit,0.0,66.0,20.2,75.99,7.7
480,shingu,75.0,88.0,33.72,82.4,4.7
481,santa isabel do rio negro,80.0,99.0,-0.41,73.92,2.55
482,alofi,8.0,68.0,-19.06,71.6,11.41
483,rybnaya sloboda,20.0,39.0,55.46,78.8,6.71
484,makokou,68.0,98.0,0.56,69.33,3.11
485,mana,75.0,100.0,43.52,68.94,1.12
486,panormos,0.0,70.0,38.37,77.07,3.22
487,redding,75.0,47.0,40.59,72.7,3.36
488,koshurnikovo,20.0,59.0,54.3,63.93,3.0
489,nanortalik,0.0,96.0,60.14,40.35,8.59
490,marsh harbour,8.0,100.0,26.54,82.74,8.25
491,selfoss,75.0,65.0,63.94,46.4,21.92
492,khanpur,12.0,55.0,28.65,94.62,7.58
493,yichun,0.0,58.0,47.72,77.79,3.44
494,colares,75.0,77.0,38.8,69.19,19.46
495,tara,75.0,50.0,33.0,95.81,11.41
496,hinton,68.0,40.0,53.4,61.59,4.12
497,puerto escondido,0.0,100.0,15.86,83.91,8.03
498,zatoka,0.0,77.0,50.04,64.4,4.7
499,berlevag,75.0,81.0,70.86,47.59,28.86
500,neftegorsk,0.0,40.0,52.8,86.34,6.46
501,gravelbourg,12.0,74.0,49.88,60.24,2.55
502,myronivka,0.0,77.0,49.66,71.4,8.37
503,muros,75.0,100.0,42.77,60.8,6.93
504,balkanabat,0.0,25.0,39.51,92.91,4.23
505,hami,0.0,42.0,42.84,92.46,7.02
